channelTitle,channelId,videoTitle,videoTitleLoc,videoId,videoSearchCategoryId,videoCategoryId,videoViews,videoQueryTime,videoTrendingRank,captionLang,captionType,id,videoCategory,assignable
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,ja,standard,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,km,standard,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,ko,standard,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,nl,standard,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,no,standard,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,pl,standard,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,pt,standard,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,ro,standard,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,ru,standard,24,Entertainment,True
TheReportOfTheWeek,UCeR0n8d3ShTn_yrMhpwyE1Q,Is McDonald's NEW Travis Scott Meal A Hit?,Is McDonald's NEW Travis Scott Meal A Hit?,R4LyvUYb2mo,0,24,1389805,2020-09-11 17:25:24,73,sv,standard,24,Entertainment,True
